"","mos_ethnicity","complainant_ethnicity"
"1","Hispanic","Black"
"2","White","Black"
"3","White","Black"
"4","White","Black"
"5","Hispanic",NA
"6","Black","White"
"7","White","White"
"8","Asian","Asian"
"9","Asian","Asian"
"10","Asian","Asian"
"11","White","Refused"
"12","White","Refused"
"13","White","Black"
"14","White","Black"
"15","White","Black"
"16","White","Black"
"17","White","Black"
"18","White","Black"
"19","White","Black"
"20","White","Black"
"21","White","Hispanic"
"22","White","Hispanic"
"23","White","Hispanic"
"24","White","Hispanic"
"25","White","Hispanic"
"26","White","Hispanic"
"27","White","Black"
"28","White","Black"
"29","White","Black"
"30","White","Black"
"31","White","Black"
"32","White","Black"
"33","White","Black"
"34","White","Black"
"35","White","Black"
"36","White","Black"
"37","White","Black"
"38","White","Black"
"39","Black","Black"
"40","Black","Black"
"41","Black","Black"
"42","Black","Black"
"43","Black","Black"
"44","Black","Black"
"45","Black","Black"
"46","Black","Black"
"47","Black","Black"
"48","Black","Black"
"49","Black","Black"
"50","Black","Black"
"51","Black","Hispanic"
"52","Black","Black"
"53","Black","Black"
"54","Black","Hispanic"
"55","Black","Hispanic"
"56","Black","Black"
"57","Black","Black"
"58","Black","Black"
"59","Black","Black"
"60","Black","Black"
"61","Black","Black"
"62","Black","Black"
"63","Black","Black"
"64","Black","Unknown"
"65","Black","Black"
"66","Black","Black"
"67","Black","Black"
"68","Black","Black"
"69","Black",NA
"70","Black","Hispanic"
"71","Black","Hispanic"
"72","Black","Hispanic"
"73","Black",NA
"74","Black","Black"
"75","Black","Black"
"76","Black",NA
"77","Black","Black"
"78","Black","Black"
"79","Black","Black"
"80","Black","Black"
"81","Black","Black"
"82","Black","Hispanic"
"83","Black","Hispanic"
"84","Black","Black"
"85","Black","Black"
"86","Black","Black"
"87","Black","Hispanic"
"88","Black","Hispanic"
"89","Black","Black"
"90","Black","Black"
"91","Black","Black"
"92","White","Hispanic"
"93","White","Hispanic"
"94","White","Black"
"95","White","Black"
"96","White","Hispanic"
"97","White","Black"
"98","White","Other Race"
"99","White","Other Race"
"100","White","White"
"101","White","Black"
"102","White","Hispanic"
"103","White","Hispanic"
"104","White","Hispanic"
"105","White","Hispanic"
"106","White","Hispanic"
"107","White","Hispanic"
"108","White","Hispanic"
"109","White","Hispanic"
"110","White","Hispanic"
"111","White","Hispanic"
"112","White","Hispanic"
"113","White","Hispanic"
"114","White","Hispanic"
"115","White","White"
"116","White",NA
"117","White","White"
"118","White","Hispanic"
"119","White","Black"
"120","White","Black"
"121","White","Black"
"122","White","Hispanic"
"123","White","Black"
"124","White","Black"
"125","White","Black"
"126","White","Black"
"127","White","Black"
"128","White","Black"
"129","White","Black"
"130","White","Black"
"131","White","Black"
"132","White","Black"
"133","White","Hispanic"
"134","White","Hispanic"
"135","White","Black"
"136","White","Black"
"137","White","Black"
"138","White","Black"
"139","White","Black"
"140","White","Black"
"141","White","Black"
"142","Black","Other Race"
"143","Black","Hispanic"
"144","Black","Other Race"
"145","Black",NA
"146","Black","Hispanic"
"147","White","Black"
"148","White","Black"
"149","White","Black"
"150","White","Black"
"151","White","Black"
"152","White","Black"
"153","White","Black"
"154","White","Black"
"155","White","Black"
"156","White","Black"
"157","Hispanic","Black"
"158","Hispanic","Black"
"159","Hispanic","Black"
"160","Hispanic","Black"
"161","Hispanic","Black"
"162","Hispanic","Black"
"163","White","Other Race"
"164","White","Hispanic"
"165","White","Hispanic"
"166","White","Hispanic"
"167","White","Hispanic"
"168","White","Unknown"
"169","White","Black"
"170","White",NA
"171","White","Black"
"172","White","Black"
"173","White","Black"
"174","White","Black"
"175","White","Black"
"176","White",NA
"177","White","Black"
"178","White","Black"
"179","White","Black"
"180","White","Hispanic"
"181","White","White"
"182","White","Black"
"183","White","Black"
"184","White","Black"
"185","White","Black"
"186","White",NA
"187","White","Black"
"188","White","Black"
"189","White","Black"
"190","White","Black"
"191","White","Black"
"192","White","Black"
"193","White","Black"
"194","White","Black"
"195","White","Black"
"196","White","Black"
"197","White","Black"
"198","White","Black"
"199","White","Black"
"200","White","Black"
"201","White","Black"
"202","White","Hispanic"
"203","White","Hispanic"
"204","White","Hispanic"
"205","White","Hispanic"
"206","White","Black"
"207","White","Black"
"208","Black","Black"
"209","Black","Black"
"210","Black","Black"
"211","Black","Hispanic"
"212","Black",NA
"213","Black","Hispanic"
"214","Black",NA
"215","White","Hispanic"
"216","White","Hispanic"
"217","White","Black"
"218","White","Black"
"219","White","Black"
"220","White","Hispanic"
"221","White","Hispanic"
"222","White","Hispanic"
"223","White","Unknown"
"224","White","Unknown"
"225","White","Hispanic"
"226","White","Hispanic"
"227","White","Hispanic"
"228","White","Hispanic"
"229","White","Asian"
"230","White","White"
"231","White","Hispanic"
"232","White","Hispanic"
"233","Hispanic","Black"
"234","Hispanic","Black"
"235","Hispanic","Black"
"236","Hispanic","Black"
"237","Hispanic","Hispanic"
"238","Asian","Black"
"239","Asian","Black"
"240","Hispanic","Unknown"
"241","Hispanic","Unknown"
"242","Hispanic","Unknown"
"243","Hispanic","Unknown"
"244","Hispanic","Unknown"
"245","Hispanic","Black"
"246","Hispanic",NA
"247","Hispanic","Black"
"248","Black","Black"
"249","Black","Black"
"250","Black","Black"
"251","Black","Black"
"252","Black","Black"
"253","Black","Black"
"254","Black","Black"
"255","Black","Black"
"256","White","Black"
"257","White","Black"
"258","White","Black"
"259","White","Black"
"260","White","Black"
"261","White",NA
"262","White","Refused"
"263","White","Black"
"264","White","Black"
"265","White","Black"
"266","White","Black"
"267","White","Black"
"268","White","Black"
"269","White","Unknown"
"270","White","Unknown"
"271","White","Black"
"272","Black","Unknown"
"273","Black","Unknown"
"274","Black","Black"
"275","Black","Black"
"276","Black","Hispanic"
"277","Black","Hispanic"
"278","Black","Hispanic"
"279","Black","Hispanic"
"280","Black","Black"
"281","Black","Hispanic"
"282","Hispanic","Black"
"283","Hispanic","Black"
"284","Hispanic","Black"
"285","Hispanic","Black"
"286","Hispanic","Black"
"287","Asian","Black"
"288","Asian","Black"
"289","Asian","Black"
"290","Asian","Black"
"291","Asian","Black"
"292","Black","Black"
"293","Black","Black"
"294","Black","Black"
"295","Black","White"
"296","White","Black"
"297","White","Hispanic"
"298","White","Hispanic"
"299","White","Black"
"300","White","Black"
"301","White","Black"
"302","White","Black"
"303","White","Black"
"304","White","Black"
"305","White","Black"
"306","White","Black"
"307","White","Black"
"308","White","Black"
"309","White","Black"
"310","White","Black"
"311","White","Black"
"312","White","Black"
"313","White","Black"
"314","White","Black"
"315","White","Black"
"316","White","Black"
"317","White","Black"
"318","White","Black"
"319","White","Black"
"320","White","Black"
"321","White","Black"
"322","White",NA
"323","White","Black"
"324","White","Black"
"325","White","Black"
"326","White","Black"
"327","White","Black"
"328","White","Black"
"329","White","Black"
"330","White","Black"
"331","White","Black"
"332","White",NA
"333","White",NA
"334","White",NA
"335","White","White"
"336","Hispanic","Hispanic"
"337","Hispanic","Black"
"338","Hispanic","Black"
"339","White","Black"
"340","White","Black"
"341","Hispanic",NA
"342","Hispanic","Hispanic"
"343","Hispanic","Black"
"344","Hispanic","Black"
"345","Hispanic","Black"
"346","Hispanic","Black"
"347","Hispanic",NA
"348","Hispanic","Black"
"349","Hispanic","Black"
"350","Hispanic","Black"
"351","Hispanic","Hispanic"
"352","Hispanic","Hispanic"
"353","Hispanic","White"
"354","Hispanic","White"
"355","Hispanic","Black"
"356","White","Black"
"357","White",NA
"358","White",NA
"359","White","Black"
"360","White",NA
"361","White",NA
"362","White","Unknown"
"363","White","Unknown"
"364","White",NA
"365","White","Black"
"366","White","Black"
"367","White","Black"
"368","White","Black"
"369","White","Hispanic"
"370","White","Hispanic"
"371","White","Hispanic"
"372","White","Black"
"373","White","Black"
"374","White","Black"
"375","Asian","Black"
"376","White","Hispanic"
"377","White","Hispanic"
"378","White","Hispanic"
"379","White","Hispanic"
"380","White","Black"
"381","White","Black"
"382","White","Hispanic"
"383","White","Black"
"384","White",NA
"385","White","Hispanic"
"386","White",NA
"387","Black","Black"
"388","Black","Black"
"389","Black","Black"
"390","Black","Black"
"391","White","Black"
"392","White","Black"
"393","White","White"
"394","White","White"
"395","White","White"
"396","White","White"
"397","White","White"
"398","White","Black"
"399","Asian","Black"
"400","Black","Black"
"401","Black","Black"
"402","Hispanic","Black"
"403","Hispanic","Other Race"
"404","Hispanic","Black"
"405","Hispanic","Hispanic"
"406","Hispanic","Black"
